"Timestamp","While the words were on the screen, how focused were you on trying to remember them?","How many words did you correctly remember?","Think about the other people in the room. How many people do you think were distracted while the words were on the screen?"
"2026/09/15 8:22:42 AM AST","1","0","20"
"2026/09/15 8:22:46 AM AST","8","9","6"
"2026/09/15 8:22:46 AM AST","6","7","15"
"2026/09/15 8:22:50 AM AST","8","18","12"
"2026/09/15 8:22:51 AM AST","1","3","12"
"2026/09/15 8:22:53 AM AST","1","4","20"
"2026/09/15 8:22:54 AM AST","2","5","23"
"2026/09/15 8:22:54 AM AST","5","6","12"
"2026/09/15 8:22:54 AM AST","6","8","7"
"2026/09/15 8:22:55 AM AST","1","0","6"
"2026/09/15 8:22:59 AM AST","1","2","11"
"2026/09/15 8:23:02 AM AST","8","8","15"
"2026/09/15 8:23:04 AM AST","5","5","16"
"2026/09/15 8:23:04 AM AST","4","8","15"
"2026/09/15 8:23:06 AM AST","8","8","14"
"2026/09/15 8:23:06 AM AST","5","4","18"
"2026/09/15 8:23:13 AM AST","8","10","9"
"2026/09/15 8:23:14 AM AST","2","4","20"
"2026/09/15 8:23:16 AM AST","8","7","20"
"2026/09/15 8:23:17 AM AST","1","0","23"
"2026/09/15 8:23:18 AM AST","3","4","15"
"2026/09/15 8:23:19 AM AST","5","7","20"
"2026/09/15 8:23:34 AM AST","3","4","17"
